English,Chinese
join,加入
joint,联合的
joke,玩笑
journal,杂志
journalist,记者
journey,旅行
joy,喜悦
judge,法官
judgment,判断
juice,果汁
jump,跳
junior,初级
jury,陪审团
just,只是
justice,正义
justify,证明合法
keep,保持
key,钥匙
kick,踢
kid,孩子
kill,杀
killer,杀手
killing,杀人
kind,种类
king,王
kiss,吻
kitchen,厨房
knee,膝盖
knife,刀
knock,敲
know,知道
knowledge,知识
lab,实验室
label,标签
labor,劳动
laboratory,实验室
lack,缺少
lady,淑女
lake,湖
land,土地
landscape,景观
language,语
lap,圈
large,大的
largely,大部分
last,最后的
late,晚的
later,之后
Latin,拉丁
latter,后者
laugh,笑
launch,发射
law,法律
lawn,草地
lawsuit,诉讼
lawyer,律师
lay,放置
layer,层
lead,带领
leader,领导者
leadership,领导
leading,领导
leaf,叶子
league,联盟
lean,倾斜
learn,学
learning,学习
least,至少
leather,皮革
leave,离开
left,剩下
leg,腿
legacy,遗产
legal,合法的
legend,传奇
legislation,立法
legitimate,合法的
lemon,柠檬
length,长度
less,较少的
lesson,课
let,让
letter,信
level,等级
liberal,自由主义的
library,图书馆
license,执照
lie,说谎
life,生活
lifestyle,生活方式
lifetime,寿命
lift,电梯
light,光
like,喜欢
likely,可能
limit,限制
limitation,局限性
limited,有限的
line,线
link,关联
lip,唇
list,列表
listen,听
literally,字面上地
literary,文学
literature,文学
little,小的
live,居住
living,活的
load,加载
loan,贷款
local,当地的
locate,定位
location,地点
lock,锁
long,长
long-term,长期
look,看
loose,松动的
lose,失去
loss,失利
lost,丢失的
lot,很多
lots,很多
loud,大声
love,爱
lovely,迷人的
lover,情人
low,低的
lower,降低
luck,运气
lucky,幸运的
lunch,午餐
lung,肺
machine,机器
mad,疯狂的
magazine,杂志
mail,邮件
main,主要的
mainly,主要是
maintain,维持
maintenance,维护
major,重大的
majority,多数
make,制作
maker,制作者
makeup,化妆品
male,男性
mall,购物中心
man,男人
manage,管理
management,管理
manager,经理
manner,方式
manufacturer,制造商
manufacturing,制造业
many,许多
map,地图
margin,利润
mark,标记
market,市场
marketing,营销
marriage,婚姻
married,已婚
marry,结婚
mask,面具
mass,大量的
massive,大量的
master,掌握
match,匹配
material,材料
math,数学
matter,事情
may,可能
maybe,也许
mayor,市长
me,我
meal,一顿饭
mean,意思是
meaning,意义
meanwhile,同时
measure,措施
measurement,测量
meat,肉
mechanism,机制
media,媒体
medical,医疗的
medication,药物
medicine,药物
medium,中等的
meet,遇见
meeting,会议
member,成员
membership,会员资格
memory,记忆
mental,精神的
mention,提到
menu,菜单
mere,仅仅
merely,仅仅
mess,混乱
message,信息
metal,金属
meter,仪表
method,方法
Mexican,墨西哥
middle,中间
might,可能
military,军队
milk,牛奶
million,百万
mind,头脑
mine,矿
minister,部长
minor,次要的
minority,少数民族
minute,分钟
miracle,奇迹
mirror,镜子
miss,错过
missile,导弹
mission,使命
mistake,错误
mix,混合
mixture,混合物
mm-hmm,mm嗯
mode,模式
model,模型
moderate,缓和
modern,现代的
modest,谦虚的
mom,妈妈
moment,片刻
money,钱
monitor,监视器
month,月
mood,情绪
moon,月亮
moral,道德
more,更多的
moreover,而且
morning,早晨
mortgage,抵押
most,最多
mostly,大多
mother,母亲
motion,运动
motivation,动机
motor,马达
mount,山
mountain,山
mouse,鼠
mouth,嘴
move,移动
movement,移动
movie,电影
Mr,先生
Mrs,太太
Ms,小姐
much,很多
multiple,多
murder,谋杀
muscle,肌肉
museum,博物馆
music,音乐
musical,音乐
musician,音乐家
Muslim,穆斯林
must,必须
mutual,相互的
my,我的
myself,我
mystery,神秘
myth,神话
naked,裸
name,姓名
narrative,叙述
narrow,狭窄
nation,国家
national,国民
native,本国的
natural,自然
naturally,自然
nature,自然
near,靠近
nearby,附近
nearly,几乎
necessarily,一定
necessary,必要的
neck,脖子
need,需要
negative,消极的
negotiate,谈判
negotiation,谈判
neighbor,邻居
neighborhood,邻里
neither,两者都不
nerve,神经
nervous,紧张的
net,网
network,网络
never,绝不
nevertheless,尽管如此
new,新的
newly,新
news,消息
newspaper,报纸
next,下一个
nice,好的
night,夜晚
nine,九
no,不
nobody,没有人
nod,点头
noise,噪音
nomination,提名
none,没有任何
nonetheless,尽管如此
nor,也不
normal,普通的
normally,一般
north,北
northern,北方
nose,鼻子
not,不是
note,笔记
nothing,没有什么
notice,注意
notion,概念
novel,小说
now,现在
nowhere,无处
n't,不
nuclear,核
number,数字
numerous,很多的
nurse,护士
nut,坚果
object,目的
objective,客观的
obligation,义务
observation,观察
observe,观察
observer,观察者
obtain,获得
obvious,明显的
obviously,明显地
occasion,场合
occasionally,偶尔
occupation,职业
occupy,占据
occur,发生
ocean,海洋
odd,奇怪的
odds,赔率
of,的
off,离开
offense,罪行
offensive,进攻
offer,提供
office,办公室
officer,官
official,官方的
often,经常
oh,哦
oil,油
ok,好的
okay,好的
old,老的
Olympic,奥林匹克
on,上
once,一次
one,一
ongoing,正在进行
onion,洋葱
online,在线的
only,只要
onto,上
open,打开
opening,开场
operate,操作
operating,操作
operation,手术
operator,操作员
opinion,观点
opponent,对手
opportunity,机会
oppose,反对
opposite,对面的
opposition,反对
option,选项
or,或者
orange,橙
order,命令
ordinary,普通的
organic,有机的
organization,组织
organize,组织
orientation,方向
origin,起源
original,原来的
originally,起初
other,其他
others,其他
otherwise,否则
ought,应该
our,我们的
ourselves,我们自己
out,出去
outcome,结果
outside,外部
oven,烤箱
over,超过
overall,全面的
overcome,克服
overlook,俯瞰
owe,欠
own,自己的
owner,所有者
pace,步伐
pack,盒
package,包裹
page,页
pain,疼痛
painful,痛苦
paint,画
painter,画家
painting,绘画
pair,一对
pale,苍白
Palestinian,巴勒斯坦
palm,棕榈
pan,平底锅
panel,控制板
pant,喘气
paper,纸
parent,父母
park,公园
parking,停車處
part,部分
participant,参与者
participate,参加
participation,参与
particular,特定
particularly,特别
partly,部分地
partner,伙伴
partnership,合伙
party,派对
pass,经过
passage,通道
passenger,乘客
passion,热情
past,过去的
patch,修补
path,小路
patient,病人
pattern,图案
pause,暂停
pay,支付
payment,支付
PC,个人电脑
peace,和平
peak,顶峰
peer,同行
penalty,惩罚
people,人们
pepper,胡椒
per,每
perceive,感知
percentage,百分比
perception,洞察力
perfect,完美的
perfectly,完美
perform,履行
performance,表现
perhaps,也许
period,时期
permanent,永恒的
permission,允许
permit,允许
person,人
personal,个人的
personality,性格
personally,亲自
personnel,人员
perspective,看法
persuade,说服
pet,宠物
phase,阶段
phenomenon,现象
philosophy,哲学
phone,电话
photo,照片
photograph,照片
photographer,摄影师
phrase,短语
physical,身体的
physically,身体上
physician,医师
piano,钢琴
pick,挑选
picture,图片
pie,馅饼
piece,片
pile,桩
pilot,飞行员
pine,松树
pink,粉色的
pipe,管道
pitch,沥青
place,地方
plan,计划
plane,飞机
planet,行星
planning,规划
plant,植物
plastic,塑料
plate,盘子
platform,平台
play,玩
player,球员
please,请
pleasure,乐趣
plenty,很多
plot,阴谋
plus,加
PM,下午
pocket,口袋
poem,诗
poet,诗人
poetry,诗歌
point,观点
pole,极
police,警察
policy,政策
political,政治的
politically,政治上
politician,政治家
politics,政治
poll,轮询
pollution,污染
pool,水池
poor,较差的
pop,流行音乐
popular,受欢迎的
population,人口
porch,门廊
port,港口
portion,部分
portrait,肖像
portray,写真
pose,姿势
position,位置
positive,积极的
possess,具有
possibility,可能性
possible,可能的
possibly,可能
post,邮政
pot,锅
potato,土豆
potential,潜在的
potentially,可能
pound,磅
pour,倒
poverty,贫困
powder,粉末
power,力量
powerful,强大的
practical,实际的
practice,实践
pray,祈祷
prayer,祷告
precisely,恰恰
predict,预测
prefer,更喜欢
preference,偏爱
pregnancy,怀孕
pregnant,孕
preparation,准备
prepare,准备
prescription,处方
presence,在场
present,当下
presentation,介绍
preserve,保存
president,总统
presidential,总统
press,按
pressure,压力
pretend,假装
pretty,漂亮的
prevent,防止
previous,以前的
previously,之前
price,价格
pride,自豪
priest,牧师
primarily,主要是
primary,基本的
prime,主要
principal,主要的
principle,原则
print,打印
prior,事先的
priority,优先
